"",name,region,variety,rating,notes
8,12 Linajes Reserva 2012,"Ribera del Duero, Spain",Red Wine,104,"On the nose, a complex predominance of mineral notes in a background of cherry jam combined with a subtle blend of roasted and smoked background. Powerful but with a step of silky and well-balanced tannins that make up a final that feels fatty with mineral and candied aftertaste"
218,Abreu Vineyards Cappella 2010,"Napa Valley, California",Red Wine,98,"Cappella is one of the oldest vineyard sites in St. Helena. Six acres that sit alongside a Catholic cemetery on the west side of town, it was first planted in 1869. In the 1980s the church asked David to tear out the old vines, then he watched as the land lay fallow for close to two decades. When he finally got the chance to replant, he jumped. He'd tasted fruit from Cappella in the 70s. He knew what kind of wine it could make. But that first replant was ill-fated thanks to diseased rootstock, and once again he was ripping out vines. “It took us six years before we had a crop. We could have ignored it, pulled the vines out one by one as they collapsed. But then we'd have all these different ripening patterns, which would impact consistency. It was an easy decision.”"
220,Abreu Vineyards Howell Mountain 2009,"Howell Mountain, Napa Valley, California",Red Wine,98,"As a set of wines, it is hard to surpass the four cuvees from the estate vineyards of David Abreu. As I have written many times in the past, all of these wines are truly world-class efforts that stand alongside proprietary red wines made from Bordeaux varietals from any appellation in the world. "
221,Abreu Vineyards Las Posadas Howell Mountain 2012,"Howell Mountain, Napa Valley, California",Red Wine,99,"At about 2000 feet elevation, Las Posadas sits above the fog line, surrounded by a protected forest of fir and pine. Red Aiken soils are layered over white tufa, and the rocks that littered the site before it was planted now form walls defining the property."
223,Abreu Vineyards Madrona Ranch 1996,"Napa Valley, California",Red Wine,98,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years and receives an addition two years of bottle age prior to release.
227,Abreu Vineyards Madrona Ranch 2005,"Napa Valley, California",Red Wine,98,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years. The wine receives an addition two years of bottle age prior to release.
229,Abreu Vineyards Thorevilos 2009,"Napa Valley, California",Red Wine,98,"The blend for this cuvee is generally an intriguing combination of Cabernet Sauvignon, Cabernet Franc and the rest Petit Verdot with just a tiny dollop of Merlot. "
230,Abreu Vineyards Thorevilos 2012,"Napa Valley, California",Red Wine,99,"Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. “It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine.”"
231,Abreu Vineyards Thorevilos 2014,"Napa Valley, California",Red Wine,97,"Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. ""It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine."""
233,Abreu Vineyards Thorevilos 2015,"Napa Valley, California",Red Wine,97,"Thorevilos was one of David's favorite haunts as a child. There were no vines then. Just pine trees, redwoods, an old olive grove. And a rusted hog wire hanging from a tree—“Hook Man” in Abreu family lore. These days it's the dirt that engrosses him. White tufa that turns to fine powder when you grind it beneath your foot. Tannish soil peppered with orange-brown pebbles. Streaks of dry, red earth. Sitting 800 feet above the valley floor, wedged between the St. Helena and Howell Mountain AVAs, Thorevilos doesn't belong to any sub-appellation. “It's an outlier,” David says. When the AVA boundaries were being determined, he could have argued to have it included. “But it wouldn't have made any difference to the vineyard. Or the wine.” "
